SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
2.334      0   0.000  0.000  1.149  0.057  -0.209  0.000  0.000  0.000
4.827   -881   0.000  -0.014  1.385  0.066  -0.197  0.000  0.000  -0.192
6.947   -103   0.000  -0.044  1.345  0.076  -0.184  0.000  0.000  -0.792
8.162   -103   0.000  -0.044  1.122  0.058  -0.186  0.000  0.000  -1.346
8.664    -12   0.000  -0.066  0.829  0.040  -0.163  0.000  0.000  -2.024
9.453     -2   0.000  -0.082  0.958  0.051  -0.181  0.000  0.000  -2.717
10.180      3   0.000  -0.096  0.944  0.036  -0.157  0.000  0.000  -3.364
10.842      3   0.000  -0.096  0.970  0.033  -0.147  0.000  0.000  -3.759
11.279      4   0.000  -0.105  0.889  0.044  -0.124  0.000  0.000  -3.998
11.275      7   0.000  -0.110  0.711  0.043  -0.117  0.000  0.000  -4.023
10.762      3   0.000  -0.112  0.465  0.026  -0.082  0.000  0.000  -3.746
10.908      3   0.000  -0.112  0.734  0.066  -0.104  0.000  0.000  -3.124
10.698      2   0.000  -0.112  0.574  0.048  -0.056  0.000  0.000  -2.408
10.563      6   0.000  -0.112  0.594  0.059  -0.052  0.000  0.000  -1.919
10.467     10   0.000  -0.112  0.599  0.083  -0.034  0.000  0.000  -1.324
10.285     10   0.000  -0.112  0.557  0.079  -0.033  0.000  0.000  -0.871
10.459      9   0.000  -0.112  0.704  0.115  -0.030  0.000  0.000  -0.546
10.905     10   0.000  -0.112  0.844  0.135  -0.028  0.000  0.000  -0.350
10.905     10   0.000  -0.112  0.693  0.086  -0.040  0.000  0.000  -0.126
11.524     10   0.000  -0.112  0.984  0.136  -0.065  0.000  0.000  -0.010
11.797      8   0.000  -0.112  0.883  0.113  -0.061  0.000  0.000  0.012
12.005     10   0.000  -0.112  0.883  0.106  -0.071  0.000  0.000  0.003
12.226     10   0.000  -0.112  0.925  0.085  -0.108  0.000  0.000  0.001
12.118     11   0.000  -0.112  0.807  0.039  -0.129  0.000  0.000  -0.007
