SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
12.007     11   0.000  -0.112  0.799  0.036  -0.134  0.000  0.000  0.001
11.988     11   0.000  -0.112  0.845  0.019  -0.167  0.000  0.000  0.010
10.918     12   0.000  -0.112  0.359  -0.067  -0.143  0.000  0.000  0.009
10.390     10   0.000  -0.112  0.534  -0.062  -0.203  0.000  0.000  -0.003
9.470      9   0.000  -0.112  0.291  -0.087  -0.163  0.000  0.000  -0.008
8.710      9   0.000  -0.112  0.301  -0.123  -0.208  0.000  0.000  -0.004
7.950     10   0.000  -0.112  0.227  -0.130  -0.196  0.000  0.000  0.000
6.705      9   0.000  -0.112  -0.066  -0.178  -0.185  0.000  0.000  0.003
5.565      6   0.000  -0.112  -0.129  -0.181  -0.189  0.000  0.000  0.003
4.258      6   0.000  -0.112  -0.319  -0.198  -0.164  0.000  0.000  -0.000
3.171      6   0.000  -0.112  -0.356  -0.173  -0.126  0.000  0.000  -0.002
2.041      4   0.000  -0.112  -0.509  -0.148  -0.050  0.000  0.000  -0.002
1.340      3   0.000  -0.112  -0.406  -0.139  -0.076  0.000  0.000  0.001
0.805      3   0.000  -0.112  -0.429  -0.089  -0.004  0.000  0.000  0.001
0.123      1   0.000  -0.112  -0.576  -0.055  0.066  0.000  0.000  0.001
-0.390      1   0.000  -0.112  -0.592  0.005  0.130  0.000  0.000  -0.000
-0.496      1   0.000  -0.112  -0.464  0.046  0.150  0.000  0.000  -0.001
-0.279      0   0.000  -0.112  -0.357  0.114  0.211  0.000  0.000  -0.000
0.152      0   0.000  -0.112  -0.261  0.162  0.252  0.000  0.000  0.000
1.418      0   0.000  -0.112  0.162  0.237  0.237  0.000  0.000  0.001
2.701      0   0.000  -0.112  0.258  0.292  0.292  0.000  0.000  0.000
3.772      0   0.000  -0.112  0.280  0.302  0.289  0.000  0.000  -0.000
4.879     -2   0.000  -0.112  0.396  0.326  0.283  0.000  0.000  -0.000
5.921     -1   0.000  -0.112  0.467  0.334  0.281  0.000  0.000  -0.000
7.152     -1   0.000  -0.112  0.662  0.343  0.249  0.000  0.000  0.000
8.144      2   0.000  -0.112  0.673  0.323  0.234  0.000  0.000  0.000
8.415      4   0.000  -0.112  0.438  0.275  0.234  0.000  0.000  0.000
8.994      7   0.000  -0.112  0.633  0.272  0.164  0.000  0.000  -0.000
8.872      7   0.000  -0.112  0.369  0.214  0.168  0.000  0.000  -0.000
8.334      8   0.000  -0.112  0.181  0.159  0.145  0.000  0.000  -0.000
7.435      7   0.000  -0.112  -0.007  0.081  0.095  0.000  0.000  0.000
6.594      7   0.000  -0.112  -0.046  0.047  0.061  0.000  0.000  0.000
5.705      7   0.000  -0.112  -0.123  -0.012  0.016  0.000  0.000  0.000
4.372      7   0.000  -0.112  -0.396  -0.080  0.001  0.000  0.000  -0.000
3.408      6   0.000  -0.112  -0.324  -0.103  -0.054  0.000  0.000  -0.000
2.693      6   0.000  -0.112  -0.294  -0.111  -0.065  0.000  0.000  -0.000
2.266      4   0.000  -0.112  -0.199  -0.147  -0.130  0.000  0.000  0.000
2.267      4   0.000  -0.112  -0.035  -0.139  -0.150  0.000  0.000  0.000
2.500      2   0.000  -0.112  0.084  -0.144  -0.182  0.000  0.000  0.000
2.860      2   0.000  -0.112  0.177  -0.150  -0.213  0.000  0.000  -0.000
3.025      0   0.000  -0.112  0.128  -0.169  -0.226  0.000  0.000  -0.000
3.498      2   0.000  -0.112  0.288  -0.145  -0.240  0.000  0.000  -0.000
3.926      2   0.000  -0.112  0.311  -0.150  -0.240  0.000  0.000  0.000
4.248      1   0.000  -0.112  0.320  -0.182  -0.279  0.000  0.000  0.000
4.777      3   0.000  -0.112  0.435  -0.144  -0.262  0.000  0.000  0.000
5.265      3   0.000  -0.112  0.470  -0.150  -0.275  0.000  0.000  -0.000
5.711      3   0.000  -0.112  0.494  -0.141  -0.272  0.000  0.000  -0.000
5.646      3   0.000  -0.112  0.309  -0.188  -0.283  0.000  0.000  0.000
5.335      6   0.000  -0.112  0.184  -0.190  -0.265  0.000  0.000  0.000
5.284      5   0.000  -0.112  0.279  -0.179  -0.277  0.000  0.000  0.000
4.676      5   0.000  -0.112  -0.004  -0.196  -0.219  0.000  0.000  -0.000
4.026      5   0.000  -0.112  -0.065  -0.225  -0.247  0.000  0.000  -0.000
3.333      4   0.000  -0.112  -0.143  -0.240  -0.247  0.000  0.000  -0.000
2.812      3   0.000  -0.112  -0.143  -0.212  -0.217  0.000  0.000  0.000
2.425      3   0.000  -0.112  -0.128  -0.213  -0.218  0.000  0.000  0.000
2.171      2   0.000  -0.112  -0.109  -0.200  -0.206  0.000  0.000  0.000
1.857      2   0.000  -0.112  -0.166  -0.202  -0.193  0.000  0.000  -0.000
1.307      2   0.000  -0.112  -0.312  -0.203  -0.168  0.000  0.000  -0.000
1.345      1   0.000  -0.112  -0.089  -0.164  -0.185  0.000  0.000  -0.000
1.150      1   0.000  -0.112  -0.220  -0.153  -0.121  0.000  0.000  0.000
1.605      1   0.000  -0.112  0.069  -0.115  -0.153  0.000  0.000  0.000
1.887      1   0.000  -0.112  0.010  -0.096  -0.103  0.000  0.000  0.000
1.529      1   0.000  -0.112  -0.270  -0.115  -0.068  0.000  0.000  0.000
1.585      0   0.000  -0.112  -0.124  -0.052  -0.051  0.000  0.000  0.000
1.392      0   0.000  -0.112  -0.252  -0.051  -0.005  0.000  0.000  -0.000
1.490      0   0.000  -0.112  -0.146  -0.019  0.010  0.000  0.000  -0.000
1.694      1   0.000  -0.112  -0.089  -0.016  0.009  0.000  0.000  0.000
1.639      0   0.000  -0.112  -0.206  -0.003  0.049  0.000  0.000  0.000
1.414     -1   0.000  -0.112  -0.293  -0.002  0.061  0.000  0.000  -0.000
1.499     -1   0.000  -0.112  -0.178  0.040  0.071  0.000  0.000  -0.000
1.457      1   0.000  -0.112  -0.232  0.023  0.081  0.000  0.000  -0.000
1.529      1   0.000  -0.112  -0.196  0.049  0.105  0.000  0.000  -0.000
1.868      1   0.000  -0.112  -0.059  0.061  0.082  0.000  0.000  -0.000
2.084      1   0.000  -0.112  -0.087  0.056  0.091  0.000  0.000  -0.000
2.256      1   0.000  -0.112  -0.073  0.039  0.059  0.000  0.000  -0.000
2.322      2   0.000  -0.112  -0.116  0.051  0.082  0.000  0.000  -0.000
2.603      2   0.000  -0.112  0.002  0.048  0.051  0.000  0.000  -0.000
2.741      1   0.000  -0.112  -0.062  0.073  0.102  0.000  0.000  -0.000
2.902      1   0.000  -0.112  -0.022  0.054  0.067  0.000  0.000  -0.000
3.202      1   0.000  -0.112  0.057  0.065  0.064  0.000  0.000  -0.000
3.590      1   0.000  -0.112  0.125  0.075  0.060  0.000  0.000  -0.000
3.620      0   0.000  -0.112  -0.006  0.057  0.071  0.000  0.000  -0.000
3.772      3   0.000  -0.112  0.048  0.081  0.079  0.000  0.000  -0.000
3.787      3   0.000  -0.112  0.021  0.034  0.034  0.000  0.000  -0.000
3.867      3   0.000  -0.112  0.039  0.060  0.061  0.000  0.000  -0.000
3.943      2   0.000  -0.112  0.047  0.056  0.056  0.000  0.000  -0.000
3.902      3   0.000  -0.112  -0.005  0.053  0.067  0.000  0.000  -0.000
4.080      3   0.000  -0.112  0.099  0.063  0.048  0.000  0.000  -0.000
4.152      3   0.000  -0.112  0.056  0.073  0.074  0.000  0.000  -0.000
3.881      4   0.000  -0.112  -0.090  0.041  0.070  0.000  0.000  -0.000
3.811      3   0.000  -0.112  -0.029  0.067  0.079  0.000  0.000  -0.000
3.356      3   0.000  -0.112  -0.213  0.035  0.089  0.000  0.000  -0.000
3.392      3   0.000  -0.112  -0.024  0.061  0.069  0.000  0.000  -0.000
3.448      3   0.000  -0.112  -0.023  0.071  0.093  0.000  0.000  -0.000
3.351      2   0.000  -0.112  -0.083  0.053  0.087  0.000  0.000  -0.000
3.500      2   0.000  -0.112  0.020  0.078  0.083  0.000  0.000  -0.000
3.503      4   0.000  -0.112  -0.036  0.073  0.091  0.000  0.000  -0.000
3.532      2   0.000  -0.112  -0.027  0.082  0.099  0.000  0.000  -0.000
3.421      2   0.000  -0.112  -0.111  0.105  0.148  0.000  0.000  -0.000
3.682      4   0.000  -0.112  0.064  0.113  0.112  0.000  0.000  -0.000
3.944      2   0.000  -0.112  0.071  0.134  0.147  0.000  0.000  -0.000
3.692      2   0.000  -0.112  -0.139  0.099  0.151  0.000  0.000  -0.000
3.574      2   0.000  -0.112  -0.104  0.121  0.157  0.000  0.000  -0.000
3.507      2   0.000  -0.112  -0.087  0.114  0.147  0.000  0.000  -0.000
3.781      2   0.000  -0.112  0.064  0.134  0.138  0.000  0.000  -0.000
4.286      3   0.000  -0.112  0.191  0.154  0.143  0.000  0.000  -0.000
4.016      3   0.000  -0.112  -0.122  0.104  0.163  0.000  0.000  -0.000
4.257      2   0.000  -0.112  0.102  0.139  0.125  0.000  0.000  -0.000
4.003      3   0.000  -0.112  -0.115  0.117  0.159  0.000  0.000  -0.000
3.911      3   0.000  -0.112  -0.053  0.110  0.133  0.000  0.000  -0.000
4.032      3   0.000  -0.112  0.044  0.103  0.113  0.000  0.000  -0.000
4.432      5   0.000  -0.112  0.191  0.110  0.091  0.000  0.000  -0.000
4.605      4   0.000  -0.112  0.127  0.090  0.086  0.000  0.000  -0.000
4.418      3   0.000  -0.112  -0.009  0.056  0.066  0.000  0.000  -0.000
4.513      3   0.000  -0.112  0.122  0.052  0.020  0.000  0.000  -0.000
4.723      4   0.000  -0.112  0.175  0.063  0.035  0.000  0.000  -0.000
5.046      4   0.000  -0.112  0.246  0.073  0.032  0.000  0.000  -0.000
5.042      4   0.000  -0.112  0.129  0.040  0.030  0.000  0.000  -0.000
5.141      4   0.000  -0.112  0.190  0.039  -0.001  0.000  0.000  -0.000
4.868      4   0.000  -0.112  0.031  0.008  0.001  0.000  0.000  -0.000
5.008      4   0.000  -0.112  0.198  0.036  -0.013  0.000  0.000  -0.000
5.061      4   0.000  -0.112  0.178  0.006  -0.026  0.000  0.000  -0.000
5.088      3   0.000  -0.112  0.170  0.006  -0.023  0.000  0.000  -0.000
4.880      3   0.000  -0.112  0.066  -0.008  -0.023  0.000  0.000  -0.000
4.828      4   0.000  -0.112  0.136  -0.022  -0.063  0.000  0.000  -0.000
4.743      4   0.000  -0.112  0.102  -0.006  -0.031  0.000  0.000  -0.000
4.773      3   0.000  -0.112  0.158  -0.020  -0.058  0.000  0.000  -0.000
4.658      4   0.000  -0.112  0.095  -0.033  -0.055  0.000  0.000  -0.000
4.353      4   0.000  -0.112  0.003  -0.058  -0.065  0.000  0.000  -0.000
4.385      4   0.000  -0.112  0.133  -0.032  -0.075  0.000  0.000  -0.000
4.080      5   0.000  -0.112  -0.012  -0.079  -0.084  0.000  0.000  -0.000
3.881      3   0.000  -0.112  -0.007  -0.046  -0.053  0.000  0.000  -0.000
3.484      3   0.000  -0.112  -0.103  -0.088  -0.077  0.000  0.000  -0.000
3.380      5   0.000  -0.112  -0.003  -0.069  -0.085  0.000  0.000  -0.000
3.356      1   0.000  -0.112  0.028  -0.077  -0.093  0.000  0.000  -0.000
3.296      1   0.000  -0.112  0.013  -0.087  -0.100  0.000  0.000  -0.000
3.223      1   0.000  -0.112  -0.001  -0.084  -0.095  0.000  0.000  -0.000
3.454      2   0.000  -0.112  0.152  -0.091  -0.145  0.000  0.000  -0.000
3.435      3   0.000  -0.112  0.044  -0.087  -0.108  0.000  0.000  -0.000
3.255      3   0.000  -0.112  -0.008  -0.137  -0.157  0.000  0.000  -0.000
3.039      4   0.000  -0.112  -0.039  -0.143  -0.160  0.000  0.000  -0.000
2.856      4   0.000  -0.112  -0.041  -0.149  -0.165  0.000  0.000  -0.000
2.773      3   0.000  -0.112  0.002  -0.168  -0.196  0.000  0.000  -0.000
2.923      3   0.000  -0.112  0.120  -0.185  -0.240  0.000  0.000  -0.000
3.092      2   0.000  -0.112  0.135  -0.174  -0.225  0.000  0.000  -0.000
3.216      2   0.000  -0.112  0.143  -0.192  -0.253  0.000  0.000  -0.000
3.450      1   0.000  -0.112  0.217  -0.195  -0.280  0.000  0.000  -0.000
3.861      1   0.000  -0.112  0.303  -0.155  -0.249  0.000  0.000  -0.000
4.208      2   0.000  -0.112  0.330  -0.188  -0.288  0.000  0.000  -0.000
4.679      2   0.000  -0.112  0.403  -0.147  -0.259  0.000  0.000  -0.000
4.901      4   0.000  -0.112  0.319  -0.140  -0.228  0.000  0.000  -0.000
5.096      4   0.000  -0.112  0.327  -0.132  -0.228  0.000  0.000  -0.000
4.967      5   0.000  -0.112  0.186  -0.137  -0.201  0.000  0.000  -0.000
4.787      5   0.000  -0.112  0.152  -0.143  -0.202  0.000  0.000  -0.000
4.628      5   0.000  -0.112  0.121  -0.107  -0.150  0.000  0.000  -0.000
4.659      4   0.000  -0.112  0.188  -0.086  -0.141  0.000  0.000  -0.000
4.306      3   0.000  -0.112  0.007  -0.108  -0.119  0.000  0.000  -0.000
3.768      5   0.000  -0.112  -0.137  -0.074  -0.056  0.000  0.000  -0.000
3.162      5   0.000  -0.112  -0.226  -0.069  -0.038  0.000  0.000  -0.000
2.638      3   0.000  -0.112  -0.257  -0.052  -0.008  0.000  0.000  -0.000
1.955      2   0.000  -0.112  -0.390  -0.059  0.020  0.000  0.000  -0.000
1.397      2   0.000  -0.112  -0.414  -0.029  0.060  0.000  0.000  -0.000
0.878      2   0.000  -0.112  -0.459  -0.013  0.087  0.000  0.000  -0.000
0.279      1   0.000  -0.112  -0.552  -0.012  0.108  0.000  0.000  -0.000
0.071      0   0.000  -0.112  -0.421  0.003  0.089  0.000  0.000  -0.000
-0.396      0   0.000  -0.112  -0.580  0.003  0.139  0.000  0.000  -0.000
-0.360      1   0.000  -0.112  -0.385  0.031  0.115  0.000  0.000  -0.000
-0.604      0   0.000  -0.112  -0.518  0.015  0.137  0.000  0.000  -0.000
-0.735      0   0.000  -0.112  -0.498  0.042  0.156  0.000  0.000  -0.000
-0.822      0   0.000  -0.112  -0.479  0.026  0.133  0.000  0.000  -0.000
-0.245      0   0.000  -0.112  -0.177  0.066  0.109  0.000  0.000  -0.000
0.023     -1   0.000  -0.112  -0.281  0.062  0.146  0.000  0.000  -0.000
0.431     -1   0.000  -0.112  -0.183  0.071  0.123  0.000  0.000  -0.000
1.431     -2   0.000  -0.112  0.137  0.109  0.087  0.000  0.000  -0.000
1.733     -1   0.000  -0.112  -0.103  0.076  0.123  0.000  0.000  -0.000
1.954     -1   0.000  -0.112  -0.110  0.086  0.116  0.000  0.000  -0.000
2.340     -1   0.000  -0.112  -0.018  0.107  0.121  0.000  0.000  -0.000
2.635      0   0.000  -0.112  -0.034  0.115  0.143  0.000  0.000  -0.000
3.033      0   0.000  -0.112  0.050  0.112  0.121  0.000  0.000  -0.000
3.154      0   0.000  -0.112  -0.062  0.130  0.170  0.000  0.000  -0.000
3.218      0   0.000  -0.112  -0.072  0.122  0.159  0.000  0.000  -0.000
3.260      2   0.000  -0.112  -0.078  0.132  0.164  0.000  0.000  -0.000
3.198      3   0.000  -0.112  -0.129  0.135  0.181  0.000  0.000  -0.000
3.216      2   0.000  -0.112  -0.093  0.127  0.170  0.000  0.000  -0.000
3.265      3   0.000  -0.112  -0.073  0.121  0.159  0.000  0.000  -0.000
3.425      3   0.000  -0.112  -0.014  0.127  0.150  0.000  0.000  -0.000
3.103      1   0.000  -0.112  -0.212  0.076  0.140  0.000  0.000  -0.000
3.246      2   0.000  -0.112  -0.035  0.129  0.146  0.000  0.000  -0.000
3.401      2   0.000  -0.112  0.002  0.092  0.108  0.000  0.000  -0.000
3.436      4   0.000  -0.112  -0.049  0.098  0.130  0.000  0.000  -0.000
3.173      3   0.000  -0.112  -0.176  0.068  0.121  0.000  0.000  -0.000
2.767      3   0.000  -0.112  -0.267  0.062  0.127  0.000  0.000  -0.000
2.800      3   0.000  -0.112  -0.089  0.072  0.092  0.000  0.000  -0.000
2.808      2   0.000  -0.112  -0.096  0.053  0.088  0.000  0.000  -0.000
2.600      3   0.000  -0.112  -0.195  0.037  0.096  0.000  0.000  -0.000
2.900      3   0.000  -0.112  0.030  0.061  0.061  0.000  0.000  -0.000
2.777      2   0.000  -0.112  -0.144  0.044  0.086  0.000  0.000  -0.000
2.557      1   0.000  -0.112  -0.191  0.027  0.068  0.000  0.000  -0.000
2.686      2   0.000  -0.112  -0.045  0.040  0.049  0.000  0.000  -0.000
2.493      2   0.000  -0.112  -0.190  0.021  0.074  0.000  0.000  -0.000
2.646      1   0.000  -0.112  -0.030  0.021  0.029  0.000  0.000  -0.000
2.771      1   0.000  -0.112  -0.022  0.007  0.014  0.000  0.000  -0.000
3.116      2   0.000  -0.112  0.077  0.046  0.038  0.000  0.000  -0.000
3.223      2   0.000  -0.112  0.027  -0.013  -0.018  0.000  0.000  -0.000
3.386      1   0.000  -0.112  0.062  0.002  -0.017  0.000  0.000  -0.000
3.558      0   0.000  -0.112  0.080  0.002  -0.016  0.000  0.000  -0.000
3.650      0   0.000  -0.112  0.066  -0.013  -0.029  0.000  0.000  -0.000
3.696      2   0.000  -0.112  0.052  -0.013  -0.027  0.000  0.000  -0.000
3.831      2   0.000  -0.112  0.109  -0.026  -0.053  0.000  0.000  -0.000
4.077      3   0.000  -0.112  0.170  -0.010  -0.050  0.000  0.000  -0.000
4.148      3   0.000  -0.112  0.112  -0.024  -0.048  0.000  0.000  -0.000
4.021      3   0.000  -0.112  0.021  -0.022  -0.031  0.000  0.000  -0.000
4.679      2   0.000  -0.112  0.382  0.022  -0.070  0.000  0.000  -0.000
5.067      4   0.000  -0.112  0.312  0.006  -0.052  0.000  0.000  -0.000
5.528      4   0.000  -0.112  0.365  0.047  -0.022  0.000  0.000  -0.000
5.713      2   0.000  -0.112  0.276  0.044  -0.007  0.000  0.000  -0.000
5.376      4   0.000  -0.112  0.044  0.028  0.021  0.000  0.000  -0.000
5.010      4   0.000  -0.112  0.002  0.026  0.019  0.000  0.000  -0.000
5.038      4   0.000  -0.112  0.153  0.038  0.004  0.000  0.000  -0.000
5.025      5   0.000  -0.112  0.116  0.051  0.047  0.000  0.000  -0.000
4.886      4   0.000  -0.112  0.055  0.048  0.055  0.000  0.000  -0.000
4.763      4   0.000  -0.112  0.051  0.059  0.053  0.000  0.000  -0.000
4.242      5   0.000  -0.112  -0.145  0.029  0.064  0.000  0.000  -0.000
4.052      3   0.000  -0.112  -0.041  0.055  0.059  0.000  0.000  -0.000
3.759      4   0.000  -0.112  -0.110  0.038  0.071  0.000  0.000  -0.000
3.457      4   0.000  -0.112  -0.145  0.036  0.080  0.000  0.000  -0.000
3.518      5   0.000  -0.112  0.014  0.033  0.033  0.000  0.000  -0.000
2.942      3   0.000  -0.112  -0.287  0.003  0.075  0.000  0.000  -0.000
2.918      3   0.000  -0.112  -0.074  0.030  0.040  0.000  0.000  -0.000
3.023      3   0.000  -0.112  -0.025  0.043  0.054  0.000  0.000  -0.000
3.020      1   0.000  -0.112  -0.062  0.026  0.050  0.000  0.000  -0.000
3.384      1   0.000  -0.112  0.117  0.038  0.018  0.000  0.000  -0.000
3.500      2   0.000  -0.112  0.046  0.008  0.003  0.000  0.000  -0.000
3.551      2   0.000  -0.112  0.027  0.008  0.002  0.000  0.000  -0.000
3.829      2   0.000  -0.112  0.133  0.035  0.004  0.000  0.000  -0.000
3.724      2   0.000  -0.112  -0.002  -0.022  -0.022  0.000  0.000  -0.000
4.027      2   0.000  -0.112  0.186  -0.007  -0.051  0.000  0.000  -0.000
4.358      2   0.000  -0.112  0.211  0.021  -0.020  0.000  0.000  -0.000
4.549      3   0.000  -0.112  0.191  -0.008  -0.046  0.000  0.000  -0.000
4.644      5   0.000  -0.112  0.164  -0.007  -0.044  0.000  0.000  -0.000
4.338      5   0.000  -0.112  -0.010  -0.035  -0.040  0.000  0.000  -0.000
4.404      4   0.000  -0.112  0.148  -0.032  -0.080  0.000  0.000  -0.000
4.484      4   0.000  -0.112  0.146  -0.017  -0.049  0.000  0.000  -0.000
4.483      3   0.000  -0.112  0.129  -0.044  -0.073  0.000  0.000  -0.000
4.291      3   0.000  -0.112  0.013  -0.013  -0.012  0.000  0.000  -0.000
4.330      4   0.000  -0.112  0.126  -0.026  -0.067  0.000  0.000  -0.000
4.147      4   0.000  -0.112  0.021  -0.039  -0.049  0.000  0.000  -0.000
3.950      4   0.000  -0.112  0.004  -0.050  -0.060  0.000  0.000  -0.000
4.104      4   0.000  -0.112  0.141  -0.019  -0.055  0.000  0.000  -0.000
4.252      2   0.000  -0.112  0.158  -0.032  -0.066  0.000  0.000  -0.000
4.033      4   0.000  -0.112  0.004  -0.057  -0.063  0.000  0.000  -0.000
3.605      4   0.000  -0.112  -0.112  -0.068  -0.057  0.000  0.000  -0.000
3.781      5   0.000  -0.112  0.134  -0.036  -0.084  0.000  0.000  -0.000
3.850      4   0.000  -0.112  0.085  -0.033  -0.050  0.000  0.000  -0.000
3.836      2   0.000  -0.112  0.060  -0.046  -0.061  0.000  0.000  -0.000
3.642      2   0.000  -0.112  -0.024  -0.058  -0.057  0.000  0.000  -0.000
3.524      3   0.000  -0.112  -0.003  -0.053  -0.067  0.000  0.000  -0.000
3.634      1   0.000  -0.112  0.099  -0.051  -0.089  0.000  0.000  -0.000
3.502      1   0.000  -0.112  -0.021  -0.047  -0.044  0.000  0.000  -0.000
3.412      3   0.000  -0.112  0.004  -0.073  -0.083  0.000  0.000  -0.000
3.473      3   0.000  -0.112  0.061  -0.054  -0.077  0.000  0.000  -0.000
3.585      3   0.000  -0.112  0.101  -0.065  -0.101  0.000  0.000  -0.000
3.700      3   0.000  -0.112  0.109  -0.062  -0.094  0.000  0.000  -0.000
3.757      2   0.000  -0.112  0.098  -0.072  -0.103  0.000  0.000  -0.000
3.769      3   0.000  -0.112  0.078  -0.067  -0.095  0.000  0.000  -0.000
4.043      2   0.000  -0.112  0.196  -0.036  -0.090  0.000  0.000  -0.000
4.013      2   0.000  -0.112  0.089  -0.074  -0.102  0.000  0.000  -0.000
3.520      2   0.000  -0.112  -0.133  -0.099  -0.080  0.000  0.000  -0.000
3.705      4   0.000  -0.112  0.139  -0.050  -0.103  0.000  0.000  -0.000
3.718      3   0.000  -0.112  0.068  -0.062  -0.082  0.000  0.000  -0.000
3.777      3   0.000  -0.112  0.082  -0.043  -0.064  0.000  0.000  -0.000
3.521      2   0.000  -0.112  -0.064  -0.055  -0.045  0.000  0.000  -0.000
3.468      2   0.000  -0.112  0.017  -0.052  -0.072  0.000  0.000  -0.000
3.500      4   0.000  -0.112  0.043  -0.035  -0.054  0.000  0.000  -0.000
3.393      4   0.000  -0.112  -0.046  -0.006  0.006  0.000  0.000  -0.000
3.370      1   0.000  -0.112  0.003  -0.033  -0.037  0.000  0.000  -0.000
3.396      4   0.000  -0.112  0.015  -0.017  -0.021  0.000  0.000  -0.000
3.253      3   0.000  -0.112  -0.066  -0.015  -0.005  0.000  0.000  -0.000
3.131      3   0.000  -0.112  -0.070  -0.015  -0.004  0.000  0.000  -0.000
2.937      2   0.000  -0.112  -0.104  -0.040  -0.024  0.000  0.000  -0.000
3.450      2   0.000  -0.112  0.225  -0.025  -0.084  0.000  0.000  -0.000
3.928      2   0.000  -0.112  0.243  -0.010  -0.056  0.000  0.000  -0.000
4.032      2   0.000  -0.112  0.128  -0.051  -0.079  0.000  0.000  -0.000
4.407      3   0.000  -0.112  0.258  -0.009  -0.075  0.000  0.000  -0.000
4.755      3   0.000  -0.112  0.297  -0.035  -0.112  0.000  0.000  -0.000
4.864      3   0.000  -0.112  0.197  -0.018  -0.063  0.000  0.000  -0.000
3.766      3   -0.176  -0.112  0.184  -0.017  -0.059  0.000  0.000  -0.000
2.597      2   -0.176  -0.112  0.065  -0.002  -0.013  0.000  0.000  -0.000
1.443      4   -0.176  -0.112  -0.016  -0.001  0.001  0.000  0.000  -0.000
0.211      4   -0.176  -0.112  -0.157  -0.001  0.030  0.000  0.000  -0.000
-0.743      2   -0.176  -0.112  -0.140  -0.000  0.028  0.000  0.000  -0.000
-1.141      0   -0.176  -0.112  0.016  0.038  0.041  0.000  0.000  -0.000
-2.213      0   -0.176  -0.112  -0.334  -0.031  0.051  0.000  0.000  -0.000
-3.378     -1   -0.176  -0.112  -0.495  -0.024  0.077  0.000  0.000  -0.000
-3.921      0   -0.176  -0.112  -0.331  -0.000  0.057  0.000  0.000  -0.000
-3.851      0   -0.176  -0.112  -0.127  0.013  0.040  0.000  0.000  -0.000
-3.497      0   -0.176  -0.112  -0.037  0.028  0.053  0.000  0.000  -0.000
-3.343     -1   -0.176  -0.112  -0.097  0.012  0.048  0.000  0.000  -0.000
-3.384     -1   -0.176  -0.112  -0.166  0.011  0.047  0.000  0.000  -0.000
-3.228     -1   -0.176  -0.112  -0.074  0.037  0.043  0.000  0.000  -0.000
-2.791     -1   -0.176  -0.112  0.081  0.035  0.013  0.000  0.000  -0.000
-2.175     -2   -0.176  -0.112  0.191  0.048  0.025  0.000  0.000  -0.000
-1.953     -3   -0.176  -0.112  0.059  0.031  0.038  0.000  0.000  -0.000
-1.861     -3   -0.176  -0.112  0.027  0.028  0.023  0.000  0.000  -0.000
-1.670     -3   -0.176  -0.112  0.078  0.055  0.035  0.000  0.000  -0.000
-2.897     -1   -0.352  -0.112  -0.024  0.037  0.048  0.000  0.000  -0.000
-3.745     -1   -0.352  -0.112  0.071  0.050  0.042  0.000  0.000  -0.000
