vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
-0.007  0.002  -0.000  -0.774  0.000  0.000
-0.008  -0.002  -0.001  -0.775  0.000  0.000
-0.006  0.000  -0.000  -0.776  0.000  0.000
-0.006  0.000  -0.000  -0.777  0.000  0.000
-0.004  -0.002  -0.001  -0.778  0.000  0.000
-0.001  0.002  0.000  -0.779  0.000  0.000
-0.002  0.000  -0.000  -0.780  0.000  0.000
-0.000  -0.003  -0.001  -0.781  0.000  0.001
0.003  0.002  -0.000  -0.781  0.000  0.000
0.005  0.000  -0.000  -0.782  0.000  0.000
0.006  0.000  -0.000  -0.782  0.000  0.000
0.008  -0.002  -0.000  -0.783  0.000  0.000
0.006  0.002  0.000  -0.783  0.000  -0.000
0.008  -0.002  -0.000  -0.784  0.000  0.000
0.002  0.002  0.000  -0.784  0.000  -0.000
0.011  0.000  0.000  -0.784  0.000  -0.000
0.003  0.000  0.000  -0.784  0.000  -0.000
0.009  0.000  0.000  -0.784  0.000  -0.000
0.003  0.000  0.000  -0.784  0.000  -0.000
0.005  0.000  0.000  -0.784  0.000  -0.000
0.004  0.000  0.000  -0.784  0.000  -0.000
-0.001  0.002  0.001  -0.783  0.000  -0.000
0.003  -0.002  -0.000  -0.783  0.000  -0.000
-0.001  0.002  0.000  -0.783  0.000  -0.000
-0.005  0.000  0.000  -0.782  0.000  -0.000
-0.003  0.000  0.000  -0.782  0.000  -0.000
-0.004  0.000  0.000  -0.781  0.000  -0.000
-0.004  0.000  0.000  -0.781  0.000  -0.000
-0.006  -0.002  -0.000  -0.781  0.000  0.000
-0.006  -0.002  -0.001  -0.781  0.000  0.000
-0.005  0.002  0.000  -0.781  0.000  0.000
-0.007  0.000  -0.000  -0.781  0.000  0.000
-0.005  0.000  0.000  -0.781  0.000  -0.000
-0.005  0.000  0.000  -0.781  0.000  -0.000
-0.005  0.000  0.000  -0.781  0.000  -0.000
-0.005  -0.002  -0.000  -0.781  0.000  0.000
-0.003  -0.002  -0.001  -0.781  0.000  0.000
-0.008  0.004  0.000  -0.781  0.000  -0.000
0.003  -0.000  0.000  -0.781  0.000  -0.000
-0.002  0.000  0.000  -0.781  0.000  -0.000
-0.002  -0.002  -0.000  -0.781  0.000  0.000
-0.002  0.000  -0.000  -0.781  0.000  0.000
-0.000  0.000  -0.000  -0.781  0.000  0.000
-0.000  0.000  -0.000  -0.781  0.000  0.000
-0.004  -0.000  -0.000  -0.781  0.000  0.000
0.005  -0.002  -0.000  -0.781  0.000  0.000
0.001  0.000  -0.000  -0.782  0.000  0.000
0.003  0.000  -0.000  -0.782  0.000  0.000
-0.001  0.000  -0.000  -0.782  0.000  0.000
0.001  0.000  -0.000  -0.782  0.000  0.000
0.001  0.002  0.000  -0.782  0.000  -0.000
0.005  0.000  0.000  -0.782  0.000  -0.000
0.003  -0.002  -0.000  -0.782  0.000  0.000
0.003  0.004  0.001  -0.782  0.000  -0.001
0.006  -0.002  0.000  -0.782  0.000  -0.000
-0.001  -0.003  -0.001  -0.782  0.000  0.000
0.008  0.002  0.000  -0.782  0.000  0.000
0.004  -0.002  -0.000  -0.782  0.000  0.000
0.006  0.000  -0.000  -0.782  0.000  0.000
0.007  0.000  -0.000  -0.782  0.000  0.000
0.002  0.000  -0.000  -0.783  0.000  0.000
0.005  -0.001  -0.000  -0.783  0.000  0.000
-0.002  0.002  0.000  -0.783  0.000  -0.000
-0.004  -0.002  -0.000  -0.784  0.000  0.000
-0.000  -0.002  -0.001  -0.784  0.000  0.000
-0.005  0.002  0.000  -0.785  0.000  0.000
-0.007  -0.002  -0.000  -0.785  0.000  0.000
-0.007  -0.002  -0.001  -0.786  0.000  0.000
-0.010  -0.003  -0.001  -0.787  0.000  0.001
-0.010  0.002  -0.000  -0.788  0.000  0.000
-0.013  0.002  0.000  -0.788  0.000  -0.000
-0.011  -0.001  -0.000  -0.789  0.000  0.000
-0.010  0.000  -0.000  -0.790  0.000  0.000
-0.012  0.000  -0.000  -0.790  0.000  0.000
-0.008  -0.001  -0.000  -0.791  0.000  0.000
-0.006  0.000  -0.000  -0.791  0.000  0.000
-0.006  -0.001  -0.001  -0.792  0.000  0.000
-0.000  0.000  -0.000  -0.793  0.000  0.000
-0.000  -0.002  -0.001  -0.793  0.000  0.000
0.002  0.002  0.000  -0.794  0.000  -0.000
0.003  0.000  0.000  -0.794  0.000  -0.000
0.007  -0.001  -0.000  -0.795  0.000  0.000
0.010  0.000  -0.000  -0.795  0.000  0.000
0.013  -0.001  -0.000  -0.796  0.000  0.000
0.017  0.004  0.001  -0.796  0.000  -0.000
0.018  -0.002  -0.000  -0.796  0.000  -0.000
0.012  0.000  0.000  -0.796  0.000  -0.000
0.010  0.002  0.001  -0.796  0.000  -0.000
0.008  -0.002  0.000  -0.795  0.000  -0.000
0.011  0.000  0.000  -0.795  0.000  -0.000
0.007  0.000  0.000  -0.795  0.000  -0.000
0.003  -0.001  -0.000  -0.795  0.000  0.000
-0.001  0.002  0.000  -0.794  0.000  -0.000
-0.001  0.000  0.000  -0.794  0.000  -0.000
-0.004  -0.001  -0.000  -0.794  0.000  0.000
-0.006  0.000  0.000  -0.794  0.000  0.000
-0.006  0.000  0.000  -0.794  0.000  -0.000
-0.007  0.000  0.000  -0.793  0.000  -0.000
-0.009  0.000  0.000  -0.793  0.000  -0.000
-0.010  -0.001  -0.000  -0.793  0.000  0.000
-0.010  0.002  0.000  -0.793  0.000  -0.000
-0.011  0.002  0.001  -0.793  0.000  -0.001
-0.013  -0.002  0.000  -0.792  0.000  -0.000
-0.009  -0.001  -0.000  -0.792  0.000  0.000
-0.005  -0.002  -0.000  -0.792  0.000  0.000
-0.007  0.000  -0.000  -0.792  0.000  0.000
-0.003  -0.001  -0.001  -0.792  0.000  0.000
0.001  0.000  -0.000  -0.793  0.000  0.000
0.003  0.002  0.000  -0.793  0.000  -0.000
0.010  -0.002  -0.000  -0.793  0.000  0.000
0.009  0.002  0.000  -0.793  0.000  -0.000
0.009  -0.001  -0.000  -0.793  0.000  0.000
0.004  0.000  0.000  -0.793  0.000  0.000
0.010  0.000  0.000  -0.793  0.000  -0.000
0.008  0.002  0.001  -0.793  0.000  -0.000
0.008  -0.002  -0.000  -0.793  0.000  -0.000
0.002  0.000  0.000  -0.793  0.000  -0.000
0.004  -0.002  -0.000  -0.793  0.000  0.000
0.006  -0.001  -0.000  -0.793  0.000  0.000
-0.002  0.000  -0.000  -0.793  0.000  0.000
0.002  -0.001  -0.001  -0.794  0.000  0.000
-0.002  0.000  -0.000  -0.794  0.000  0.000
0.000  0.000  -0.000  -0.795  0.000  0.000
-0.002  0.000  -0.000  -0.795  0.000  0.000
-0.003  -0.001  -0.000  -0.796  0.000  0.000
-0.008  0.002  0.000  -0.796  0.000  -0.000
-0.006  0.000  0.000  -0.796  0.000  -0.000
-0.003  0.000  0.000  -0.796  0.000  -0.000
-0.004  0.000  0.000  -0.796  0.000  -0.000
-0.006  0.002  0.001  -0.796  0.000  -0.000
-0.006  -0.002  0.000  -0.796  0.000  -0.000
-0.002  0.000  0.000  -0.796  0.000  -0.000
-0.002  0.000  0.000  -0.795  0.000  -0.000
-0.005  0.002  0.001  -0.795  0.000  -0.000
-0.005  -0.002  0.000  -0.794  0.000  -0.000
-0.005  -0.001  -0.000  -0.794  0.000  0.000
-0.005  -0.001  -0.000  -0.794  0.000  0.000
-0.003  0.000  -0.000  -0.794  0.000  0.000
-0.003  0.002  0.000  -0.794  0.000  -0.000
-0.001  -0.002  -0.000  -0.794  0.000  0.000
0.003  0.000  -0.000  -0.794  0.000  0.000
0.001  0.002  0.000  -0.794  0.000  -0.000
0.008  -0.002  -0.000  -0.794  0.000  0.000
0.002  0.002  0.001  -0.794  0.000  -0.000
0.001  -0.003  -0.001  -0.794  0.000  0.000
0.004  0.000  -0.000  -0.794  0.000  0.000
0.006  -0.002  -0.001  -0.794  0.000  0.000
0.007  -0.001  -0.001  -0.795  0.000  0.001
0.005  0.000  -0.000  -0.795  0.000  0.000
0.001  0.000  -0.000  -0.796  0.000  0.000
0.001  0.002  0.000  -0.796  0.000  -0.000
0.005  -0.003  -0.001  -0.797  0.000  0.000
-0.001  0.000  -0.000  -0.797  0.000  0.000
0.003  0.002  0.000  -0.797  0.000  -0.000
0.001  0.000  0.000  -0.798  0.000  -0.000
-0.001  0.000  0.000  -0.798  0.000  -0.000
-0.002  0.002  0.001  -0.797  0.000  -0.000
-0.008  -0.001  0.000  -0.797  0.000  -0.000
-0.002  0.002  0.001  -0.797  0.000  -0.000
-0.006  -0.001  0.000  -0.796  0.000  -0.000
-0.003  -0.003  -0.001  -0.796  0.000  0.000
-0.007  0.000  -0.000  -0.796  0.000  0.000
-0.005  0.000  -0.000  -0.796  0.000  0.000
-0.007  -0.001  -0.001  -0.797  0.000  0.000
-0.006  0.002  0.000  -0.797  0.000  -0.000
0.001  -0.001  -0.000  -0.797  0.000  0.000
0.002  0.000  -0.000  -0.797  0.000  0.000
0.001  0.002  0.000  -0.797  0.000  -0.000
0.008  -0.002  -0.000  -0.797  0.000  0.000
0.011  0.000  0.000  -0.797  0.000  -0.000
0.012  0.000  0.000  -0.797  0.000  -0.000
0.009  -0.001  -0.000  -0.797  0.000  0.000
0.008  0.000  -0.000  -0.797  0.000  0.000
0.011  0.004  0.001  -0.797  0.000  -0.001
0.013  -0.003  -0.000  -0.797  0.000  0.000
0.011  0.002  0.000  -0.797  0.000  -0.000
0.007  -0.001  -0.000  -0.796  0.000  0.000
0.005  0.002  0.001  -0.796  0.000  -0.000
0.001  0.000  0.000  -0.796  0.000  -0.000
-0.001  0.002  0.001  -0.795  0.000  -0.001
-0.001  0.000  0.001  -0.794  0.000  -0.001
-0.008  -0.002  0.000  -0.794  0.000  -0.000
-0.004  0.000  0.000  -0.793  0.000  -0.000
-0.011  0.000  0.000  -0.792  0.000  -0.000
-0.010  0.000  0.000  -0.792  0.000  -0.000
-0.012  0.000  0.000  -0.791  0.000  -0.000
-0.013  0.000  0.000  -0.791  0.000  -0.000
-0.013  0.000  0.000  -0.791  0.000  -0.000
-0.011  -0.002  -0.000  -0.790  0.000  0.000
-0.012  0.000  -0.000  -0.790  0.000  0.000
-0.008  0.000  -0.000  -0.790  0.000  0.000
-0.008  0.000  0.000  -0.790  0.000  -0.000
-0.006  0.000  0.000  -0.790  0.000  -0.000
-0.000  -0.002  -0.000  -0.790  0.000  0.000
0.003  0.000  -0.000  -0.790  0.000  0.000
0.007  0.000  -0.000  -0.790  0.000  0.000
0.010  -0.001  -0.000  -0.790  0.000  0.000
0.018  -0.001  -0.001  -0.791  0.000  0.000
0.011  -0.002  -0.001  -0.792  0.000  0.001
0.014  0.004  0.000  -0.792  0.000  -0.000
0.014  -0.002  -0.000  -0.793  0.000  0.000
0.017  0.000  -0.000  -0.793  0.000  0.000
0.014  0.002  0.000  -0.793  0.000  -0.000
0.012  0.002  0.001  -0.793  0.000  -0.001
0.010  -0.002  0.000  -0.793  0.000  -0.000
0.008  0.004  0.001  -0.792  0.000  -0.001
0.002  0.000  0.001  -0.791  0.000  -0.001
-0.002  0.000  0.001  -0.790  0.000  -0.001
-0.005  -0.000  0.000  -0.790  0.000  -0.000
-0.007  -0.002  -0.000  -0.789  0.000  -0.000
-0.010  -0.002  -0.000  -0.788  0.000  0.000
-0.011  0.000  -0.000  -0.788  0.000  0.000
-0.020  0.000  -0.000  -0.788  0.000  0.000
-0.014  -0.002  -0.000  -0.788  0.000  0.000
-0.020  0.002  0.000  -0.788  0.000  -0.000
-0.014  0.000  0.000  -0.788  0.000  -0.000
-0.019  0.002  0.001  -0.787  0.000  -0.000
-0.013  0.000  0.000  -0.787  0.000  -0.000
-0.011  -0.002  -0.000  -0.787  0.000  0.000
-0.011  0.000  0.000  -0.787  0.000  -0.000
-0.005  0.002  0.000  -0.786  0.000  -0.000
-0.001  -0.002  -0.000  -0.786  0.000  0.000
0.001  0.002  0.000  -0.786  0.000  -0.000
0.009  -0.002  -0.000  -0.785  0.000  0.000
0.009  -0.002  -0.000  -0.785  0.000  0.000
0.011  0.000  -0.000  -0.785  0.000  0.000
0.019  -0.002  -0.001  -0.786  0.000  0.000
0.016  0.002  0.000  -0.786  0.000  0.000
0.020  0.000  -0.000  -0.786  0.000  -0.000
0.017  0.002  0.001  -0.786  0.000  -0.000
0.019  -0.002  -0.000  -0.786  0.000  0.000
0.014  0.000  0.000  -0.786  0.000  -0.000
0.012  -0.002  -0.000  -0.786  0.000  0.000
0.012  0.000  -0.000  -0.786  0.000  0.000
0.008  0.000  -0.000  -0.787  0.000  0.000
0.006  0.000  -0.000  -0.787  0.000  0.000
0.002  0.000  0.000  -0.787  0.000  -0.000
-0.002  0.000  0.000  -0.787  0.000  -0.000
-0.007  0.002  0.000  -0.787  0.000  -0.000
-0.007  -0.003  -0.001  -0.787  0.000  0.000
-0.008  -0.002  -0.001  -0.787  0.000  0.000
-0.012  0.000  -0.000  -0.788  0.000  0.000
-0.013  0.000  -0.000  -0.788  0.000  0.000
-0.014  0.000  -0.000  -0.788  0.000  0.000
-0.014  0.000  -0.000  -0.789  0.000  0.000
-0.012  -0.002  -0.000  -0.789  0.000  0.000
-0.018  -0.001  -0.001  -0.790  0.000  0.000
-0.007  0.004  0.000  -0.790  0.000  -0.000
-0.010  -0.002  -0.000  -0.791  0.000  0.000
-0.006  -0.001  -0.000  -0.791  0.000  0.000
-0.004  0.000  -0.000  -0.791  0.000  0.000
-0.003  0.000  -0.000  -0.792  0.000  0.000
-0.001  0.002  0.000  -0.792  0.000  -0.000
0.001  -0.001  -0.000  -0.792  0.000  0.000
0.001  0.002  0.000  -0.792  0.000  -0.000
0.003  -0.003  -0.001  -0.792  0.000  0.000
0.008  0.004  0.001  -0.792  0.000  -0.000
0.008  -0.002  -0.000  -0.792  0.000  -0.000
0.009  0.000  0.000  -0.792  0.000  -0.000
0.009  0.000  0.000  -0.792  0.000  -0.000
0.010  -0.002  -0.000  -0.792  0.000  0.000
0.005  0.002  0.000  -0.792  0.000  -0.000
0.008  0.000  0.000  -0.791  0.000  -0.000
0.008  0.000  0.000  -0.791  0.000  -0.000
0.000  -0.002  -0.000  -0.791  0.000  0.000
0.002  0.000  -0.000  -0.791  0.000  0.000
0.000  0.000  0.000  -0.791  0.000  0.000
0.000  0.000  0.000  -0.791  0.000  -0.000
-0.003  -0.002  -0.000  -0.791  0.000  0.000
-0.003  0.004  0.001  -0.791  0.000  -0.000
-0.003  -0.002  -0.000  -0.790  0.000  -0.000
-0.006  0.000  0.000  -0.790  0.000  -0.000
-0.004  -0.001  -0.000  -0.790  0.000  0.000
-0.002  0.000  -0.000  -0.790  0.000  0.000
-0.002  0.000  -0.000  -0.790  0.000  0.000
-0.000  -0.002  -0.000  -0.790  0.000  0.000
-0.000  0.000  -0.000  -0.790  0.000  0.000
0.005  -0.003  -0.001  -0.791  0.000  0.001
0.001  0.004  0.000  -0.791  0.000  -0.000
-0.000  -0.003  -0.001  -0.792  0.000  0.000
0.003  0.000  -0.000  -0.792  0.000  0.000
0.005  0.000  -0.000  -0.793  0.000  0.000
0.008  0.000  -0.000  -0.793  0.000  0.000
0.008  -0.001  -0.000  -0.794  0.000  0.000
0.002  0.000  -0.000  -0.795  0.000  0.000
0.002  -0.001  -0.001  -0.795  0.000  0.000
-0.005  -0.001  -0.001  -0.796  0.000  0.001
